"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average_Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"AUROPHARMA","EQ","15-May-2020","        665.60","        664.80","        675.30","        657.30","        664.55","        664.95","        665.67","    4186937","          2787129665.90","      67872","     301817","          7.21"
"AUROPHARMA","EQ","18-May-2020","        664.95","        665.00","        682.45","        654.60","        669.00","        669.80","        669.57","    5621992","          3764341492.00","      91935","     899534","         16.00"
"AUROPHARMA","EQ","19-May-2020","        669.80","        673.95","        679.80","        655.70","        662.10","        662.40","        666.40","    4452884","          2967420795.05","      76972","     463688","         10.41"
"AUROPHARMA","EQ","20-May-2020","        662.40","        663.00","        712.00","        658.10","        707.20","        707.60","        688.56","    8783424","          6047898077.20","     156606","    1639929","         18.67"
"AUROPHARMA","EQ","21-May-2020","        707.60","        705.80","        727.45","        700.60","        724.00","        724.35","        713.99","    8264221","          5900582704.30","     142565","    1358870","         16.44"
"AUROPHARMA","EQ","22-May-2020","        724.35","        720.00","        733.70","        710.05","        727.95","        730.90","        724.03","    5086125","          3682517722.55","      90874","     782719","         15.39"
"AUROPHARMA","EQ","26-May-2020","        730.90","        725.00","        734.80","        709.15","        717.00","        714.95","        723.96","    3723219","          2695459999.15","      69766","     853268","         22.92"
"AUROPHARMA","EQ","27-May-2020","        714.95","        719.80","        722.40","        703.10","        714.00","        713.40","        712.51","    3656794","          2605518533.05","      72595","     887785","         24.28"
"AUROPHARMA","EQ","28-May-2020","        713.40","        715.00","        722.35","        706.30","        714.00","        713.95","        714.51","    3148389","          2249556517.65","      54710","     702892","         22.33"
"AUROPHARMA","EQ","29-May-2020","        713.95","        715.90","        750.35","        711.20","        735.00","        745.65","        737.51","    8501395","          6269839428.70","     144166","    2924846","         34.40"
"AUROPHARMA","EQ","01-Jun-2020","        745.65","        744.00","        746.45","        722.00","        726.95","        725.65","        731.09","    4429287","          3238201626.50","      90588","    1228722","         27.74"
"AUROPHARMA","EQ","02-Jun-2020","        725.65","        729.00","        757.70","        725.35","        735.00","        733.20","        738.44","    6278600","          4636346033.15","     116678","    1569798","         25.00"
"AUROPHARMA","EQ","03-Jun-2020","        733.20","        736.00","        758.70","        735.15","        754.90","        750.40","        748.21","    5746017","          4299204577.85","     108032","     924357","         16.09"
"AUROPHARMA","EQ","04-Jun-2020","        750.40","        774.00","        791.00","        753.55","        761.75","        759.45","        770.19","   18788170","         14470465503.30","     291079","    1810931","          9.64"
"AUROPHARMA","EQ","05-Jun-2020","        759.45","        765.00","        775.60","        740.05","        744.80","        744.00","        757.63","    5602900","          4244914522.40","     106546","     997736","         17.81"
"AUROPHARMA","EQ","08-Jun-2020","        744.00","        754.75","        757.20","        728.80","        751.00","        750.85","        747.91","    5306306","          3968626629.00","     140202","    1382479","         26.05"
"AUROPHARMA","EQ","09-Jun-2020","        750.85","        755.00","        784.00","        754.00","        772.30","        774.95","        774.54","    8618231","          6675195902.10","     147255","    1935389","         22.46"
"AUROPHARMA","EQ","10-Jun-2020","        774.95","        774.20","        799.60","        772.35","        796.05","        796.95","        788.34","    6605407","          5207302276.05","     136581","    2098299","         31.77"
"AUROPHARMA","EQ","11-Jun-2020","        796.95","        789.00","        805.45","        775.35","        783.45","        785.85","        789.60","    6175415","          4876136681.00","     160378","    1760700","         28.51"
"AUROPHARMA","EQ","12-Jun-2020","        785.85","        765.00","        784.50","        763.70","        773.50","        771.70","        772.88","    4466352","          3451934673.85","      84517","    1448608","         32.43"
"AUROPHARMA","EQ","15-Jun-2020","        771.70","        766.10","        786.70","        762.10","        769.00","        768.70","        772.17","    3278558","          2531616971.40","      60915","     804089","         24.53"
"AUROPHARMA","EQ","16-Jun-2020","        768.70","        779.70","        785.10","        756.10","        767.95","        768.40","        773.53","    3116379","          2410603457.05","      65348","     534488","         17.15"
"AUROPHARMA","EQ","17-Jun-2020","        768.40","        773.40","        793.70","        769.45","        787.35","        788.95","        786.27","    5389524","          4237597714.90","     106897","    1754995","         32.56"
"AUROPHARMA","EQ","18-Jun-2020","        788.95","        788.95","        798.10","        783.00","        788.40","        787.30","        789.38","    2846172","          2246702729.95","      59569","     957854","         33.65"
"AUROPHARMA","EQ","19-Jun-2020","        787.30","        789.00","        794.65","        780.10","        782.40","        783.45","        785.49","    2420570","          1901343916.25","      39656","    1137448","         46.99"
"AUROPHARMA","EQ","22-Jun-2020","        783.45","        788.20","        792.50","        772.20","        785.80","        786.65","        782.94","    4078289","          3193054719.75","      98273","    1829786","         44.87"
"AUROPHARMA","EQ","23-Jun-2020","        786.65","        790.50","        816.75","        788.25","        803.25","        804.30","        807.43","    5478324","          4423371173.90","     104927","    1020901","         29.08"
"AUROPHARMA","EQ","24-Jun-2020","        804.30","        812.00","        819.75","        785.10","        793.50","        791.95","        802.46","    3909407","          3137142300.40","      81840","    1248081","         31.93"
"AUROPHARMA","EQ","25-Jun-2020","        791.95","        790.95","        808.00","        786.50","        790.95","        789.85","        794.94","    3499110","          2781572127.40","      78458","    1174537","         33.57"
"AUROPHARMA","EQ","26-Jun-2020","        789.85","        794.95","        797.00","        775.10","        781.60","        780.10","        784.70","    2720261","          2134593784.50","      60173","    1017786","         37.42"
"AUROPHARMA","EQ","29-Jun-2020","        780.10","        784.00","        797.95","        779.00","        789.50","        789.40","        790.49","    4794436","          3789941953.65","     101092","    1990169","         41.51"
"AUROPHARMA","EQ","30-Jun-2020","        789.40","        790.00","        793.90","        763.10","        770.70","        771.70","        774.47","    3496753","          2708136180.95","      69183","    1120411","         32.04"
"AUROPHARMA","EQ","01-Jul-2020","        771.70","        773.00","        781.95","        766.55","        780.00","        775.75","        774.73","    2932066","          2271571987.95","      59880","    1046883","         35.70"
"AUROPHARMA","EQ","02-Jul-2020","        775.75","        782.00","        792.50","        772.20","        782.00","        779.85","        782.81","    2876442","          2251720342.05","      69370","     895303","         31.13"
"AUROPHARMA","EQ","03-Jul-2020","        779.85","        784.05","        790.30","        775.70","        778.05","        777.85","        781.73","    1415552","          1106585539.40","      23858","     278605","         19.68"
"AUROPHARMA","EQ","06-Jul-2020","        777.85","        777.85","        786.60","        764.50","        768.50","        767.90","        769.35","    2204399","          1695960503.10","      36134","     679505","         30.82"
"AUROPHARMA","EQ","07-Jul-2020","        767.90","        769.80","        790.00","        769.80","        776.00","        776.20","        780.84","    3052763","          2383715901.20","      81230","    1045117","         34.24"
"AUROPHARMA","EQ","08-Jul-2020","        776.20","        783.00","        807.45","        777.70","        803.00","        801.90","        797.10","    4308398","          3434226789.00","      82298","    1100027","         25.53"
"AUROPHARMA","EQ","09-Jul-2020","        801.90","        809.00","        822.00","        801.05","        815.20","        812.90","        812.07","    5298020","          4302387218.00","     111751","     721921","         13.63"
"AUROPHARMA","EQ","10-Jul-2020","        812.90","        812.00","        828.70","        809.00","        820.50","        820.75","        821.13","    4737723","          3890305030.25","     111019","     984482","         20.78"
"AUROPHARMA","EQ","13-Jul-2020","        820.75","        827.10","        827.70","        806.60","        810.55","        809.50","        814.82","    3076468","          2506770300.40","      65736","     787645","         25.60"
"AUROPHARMA","EQ","14-Jul-2020","        809.50","        813.00","        823.60","        803.50","        810.00","        809.35","        812.74","    3395425","          2759611077.80","      85696","     607032","         17.88"
"AUROPHARMA","EQ","15-Jul-2020","        809.35","        811.00","        845.95","        810.25","        837.80","        840.05","        830.94","    4661394","          3873316822.10","      85483","     961286","         20.62"
"AUROPHARMA","EQ","16-Jul-2020","        840.05","        840.00","        842.35","        821.25","        837.40","        836.95","        832.62","    3481475","          2898728631.70","      62428","    1078984","         30.99"
"AUROPHARMA","EQ","17-Jul-2020","        836.95","        838.10","        844.50","        828.25","        835.00","        836.55","        836.12","    2931410","          2451001271.50","      71453","     740645","         25.27"
"AUROPHARMA","EQ","20-Jul-2020","        836.55","        835.00","        841.95","        817.60","        824.40","        823.60","        826.93","    2279207","          1884737663.75","      78505","     327287","         14.36"
"AUROPHARMA","EQ","21-Jul-2020","        823.60","        827.00","        828.95","        797.90","        802.40","        800.20","        809.19","    2289824","          1852891929.55","      55735","     935028","         40.83"
"AUROPHARMA","EQ","22-Jul-2020","        800.20","        804.00","        842.55","        803.75","        827.00","        824.90","        829.31","    5991707","          4968977462.80","     115619","    1700740","         28.38"
"AUROPHARMA","EQ","23-Jul-2020","        824.90","        829.95","        834.30","        809.10","        820.00","        820.40","        821.00","    2258570","          1854275066.85","      45693","     577213","         25.56"
"AUROPHARMA","EQ","24-Jul-2020","        820.40","        817.90","        829.00","        806.65","        811.50","        810.65","        816.21","    1845094","          1505988843.90","      39786","     399972","         21.68"
"AUROPHARMA","EQ","27-Jul-2020","        810.65","        801.00","        809.95","        776.40","        778.50","        779.25","        783.11","    2714502","          2125762267.15","      96028","     892911","         32.89"
"AUROPHARMA","EQ","28-Jul-2020","        779.25","        780.00","        795.50","        770.40","        794.55","        791.20","        783.07","    2587625","          2026286402.05","      74517","     990182","         38.27"
